"balise","direction","station","track","type","master"
61730,2,Aviapolis,1,ARRIVAL,true
61830,2,Aviapolis,1,ARRIVAL,false
61030,2,Aviapolis,1,ARRIVAL,false
61733,1,Aviapolis,1,DEPARTURE,true
61833,1,Aviapolis,1,DEPARTURE,false
61033,1,Aviapolis,1,DEPARTURE,false
61735,2,Aviapolis,2,ARRIVAL,true
61035,2,Aviapolis,2,ARRIVAL,false
61835,2,Aviapolis,2,ARRIVAL,false
61732,1,Aviapolis,2,DEPARTURE,true
61032,1,Aviapolis,2,DEPARTURE,false
61832,1,Aviapolis,2,DEPARTURE,false
11829,1,Espoo,1,ARRIVAL,true
11058,2,Espoo,1,ARRIVAL,false
11061,1,Espoo,1,DEPARTURE,true
11066,2,Espoo,1,DEPARTURE,false
11833,1,Espoo,1,DEPARTURE,false
11763,2,Espoo,2,ARRIVAL,true
11835,2,Espoo,2,ARRIVAL,false
11063,2,Espoo,2,ARRIVAL,false
11831,2,Espoo,2,DEPARTURE,true
11060,1,Espoo,2,DEPARTURE,false
11515,2,Espoo,2,DEPARTURE,false
10201,2,Helsinki asema,1,ARRIVAL,true
10001,2,Helsinki asema,1,ARRIVAL,false
10920,1,Helsinki asema,1,ARRIVAL,false
10201,1,Helsinki asema,1,DEPARTURE,true
10920,2,Helsinki asema,1,DEPARTURE,false
10001,1,Helsinki asema,1,DEPARTURE,false
10203,2,Helsinki asema,2,ARRIVAL,true
10003,2,Helsinki asema,2,ARRIVAL,false
10922,1,Helsinki asema,2,ARRIVAL,false
10203,1,Helsinki asema,2,DEPARTURE,true
10003,1,Helsinki asema,2,DEPARTURE,false
10205,2,Helsinki asema,3,ARRIVAL,true
10005,2,Helsinki asema,3,ARRIVAL,false
10205,1,Helsinki asema,3,DEPARTURE,true
10005,1,Helsinki asema,3,DEPARTURE,false
10207,2,Helsinki asema,4,ARRIVAL,true
10926,1,Helsinki asema,4,ARRIVAL,false
10007,2,Helsinki asema,4,ARRIVAL,false
10207,1,Helsinki asema,4,DEPARTURE,true
10007,1,Helsinki asema,4,DEPARTURE,false
10926,2,Helsinki asema,4,DEPARTURE,false
10209,2,Helsinki asema,5,ARRIVAL,true
10928,1,Helsinki asema,5,ARRIVAL,false
10009,2,Helsinki asema,5,ARRIVAL,false
10209,1,Helsinki asema,5,DEPARTURE,true
10009,1,Helsinki asema,5,DEPARTURE,false
10928,2,Helsinki asema,5,DEPARTURE,false
10211,1,Helsinki asema,6,DEPARTURE,true
