"balise","direction","station","track","type","train_direction"
61730,2,Aviapolis,1,ARRIVAL,1
61830,2,Aviapolis,1,ARRIVAL,1
61030,2,Aviapolis,1,ARRIVAL,1
61833,1,Aviapolis,1,DEPARTURE,1
61033,1,Aviapolis,1,DEPARTURE,1
61833,2,Aviapolis,1,ARRIVAL,2
61033,2,Aviapolis,1,ARRIVAL,2
61730,1,Aviapolis,1,DEPARTURE,2
61830,1,Aviapolis,1,DEPARTURE,2
61030,1,Aviapolis,1,DEPARTURE,2
61732,2,Aviapolis,2,ARRIVAL,1
61032,2,Aviapolis,2,ARRIVAL,1
61832,2,Aviapolis,2,ARRIVAL,1
61735,1,Aviapolis,2,DEPARTURE,1
61035,1,Aviapolis,2,DEPARTURE,1
61835,1,Aviapolis,2,DEPARTURE,1
61735,2,Aviapolis,2,ARRIVAL,2
61035,2,Aviapolis,2,ARRIVAL,2
61835,2,Aviapolis,2,ARRIVAL,2
61732,1,Aviapolis,2,DEPARTURE,2
61032,1,Aviapolis,2,DEPARTURE,2
61832,1,Aviapolis,2,DEPARTURE,2
11829,1,Espoo,1,ARRIVAL,1
11058,2,Espoo,1,ARRIVAL,1
11061,1,Espoo,1,DEPARTURE,1
11761,1,Espoo,1,DEPARTURE,1
11061,2,Espoo,1,ARRIVAL,2
11761,2,Espoo,1,ARRIVAL,2
11829,2,Espoo,1,DEPARTURE,2
11058,1,Espoo,1,DEPARTURE,2
11760,2,Espoo,2,ARRIVAL,1
11831,1,Espoo,2,ARRIVAL,1
11060,2,Espoo,2,ARRIVAL,1
11763,1,Espoo,2,DEPARTURE,1
11835,1,Espoo,2,DEPARTURE,1
11063,1,Espoo,2,DEPARTURE,1
11763,2,Espoo,2,ARRIVAL,2
11835,2,Espoo,2,ARRIVAL,2
11063,2,Espoo,2,ARRIVAL,2
11760,1,Espoo,2,DEPARTURE,2
11831,2,Espoo,2,DEPARTURE,2
11060,1,Espoo,2,DEPARTURE,2
10201,1,Helsinki asema,1,DEPARTURE,1
10920,2,Helsinki asema,1,DEPARTURE,1
10001,1,Helsinki asema,1,DEPARTURE,1
10201,2,Helsinki asema,1,ARRIVAL,2
10001,2,Helsinki asema,1,ARRIVAL,2
10920,1,Helsinki asema,1,ARRIVAL,2
10203,1,Helsinki asema,2,DEPARTURE,1
10003,1,Helsinki asema,2,DEPARTURE,1
10203,2,Helsinki asema,2,ARRIVAL,2
10003,2,Helsinki asema,2,ARRIVAL,2
10922,1,Helsinki asema,2,ARRIVAL,2
10205,1,Helsinki asema,3,DEPARTURE,1
10005,1,Helsinki asema,3,DEPARTURE,1
10205,2,Helsinki asema,3,ARRIVAL,2
10005,2,Helsinki asema,3,ARRIVAL,2
10207,1,Helsinki asema,4,DEPARTURE,1
10007,1,Helsinki asema,4,DEPARTURE,1
10926,2,Helsinki asema,4,DEPARTURE,1
10207,2,Helsinki asema,4,ARRIVAL,2
10926,1,Helsinki asema,4,ARRIVAL,2
10007,2,Helsinki asema,4,ARRIVAL,2
10209,1,Helsinki asema,5,DEPARTURE,1
10009,1,Helsinki asema,5,DEPARTURE,1
10928,2,Helsinki asema,5,DEPARTURE,1
10209,2,Helsinki asema,5,ARRIVAL,2
10928,1,Helsinki asema,5,ARRIVAL,2
10009,2,Helsinki asema,5,ARRIVAL,2
10211,1,Helsinki asema,6,DEPARTURE,1
10011,1,Helsinki asema,6,DEPARTURE,1
10930,2,Helsinki asema,6,DEPARTURE,1
10211,2,Helsinki asema,6,ARRIVAL,2
10011,2,Helsinki asema,6,ARRIVAL,2
10930,1,Helsinki asema,6,ARRIVAL,2
10215,1,Helsinki asema,8,DEPARTURE,1
10934,2,Helsinki asema,8,DEPARTURE,1
10015,1,Helsinki asema,8,DEPARTURE,1
10215,2,Helsinki asema,8,ARRIVAL,2
10217,1,Helsinki asema,9,DEPARTURE,1
10017,1,Helsinki asema,9,DEPARTURE,1
10936,2,Helsinki asema,9,DEPARTURE,1
10217,2,Helsinki asema,9,ARRIVAL,2
10017,2,Helsinki asema,9,ARRIVAL,2
10219,1,Helsinki asema,10,DEPARTURE,1
10019,1,Helsinki asema,10,DEPARTURE,1
10219,2,Helsinki asema,10,ARRIVAL,2
10019,2,Helsinki asema,10,ARRIVAL,2
10221,1,Helsinki asema,11,DEPARTURE,1
10021,1,Helsinki asema,11,DEPARTURE,1
10221,2,Helsinki asema,11,ARRIVAL,2
10021,2,Helsinki asema,11,ARRIVAL,2
10223,1,Helsinki asema,12,DEPARTURE,1
10948,2,Helsinki asema,12,DEPARTURE,1
10023,1,Helsinki asema,12,DEPARTURE,1
10223,2,Helsinki asema,12,ARRIVAL,2
10948,1,Helsinki asema,12,ARRIVAL,2
10023,2,Helsinki asema,12,ARRIVAL,2
10225,1,Helsinki asema,13,DEPARTURE,1
10982,2,Helsinki asema,13,DEPARTURE,1
10025,1,Helsinki asema,13,DEPARTURE,1
10225,2,Helsinki asema,13,ARRIVAL,2
10982,1,Helsinki asema,13,ARRIVAL,2
10025,2,Helsinki asema,13,ARRIVAL,2
10227,1,Helsinki asema,14,DEPARTURE,1
10984,2,Helsinki asema,14,DEPARTURE,1
10027,1,Helsinki asema,14,DEPARTURE,1
10227,2,Helsinki asema,14,ARRIVAL,2
10027,2,Helsinki asema,14,ARRIVAL,2
10984,1,Helsinki asema,14,ARRIVAL,2
10229,1,Helsinki asema,15,DEPARTURE,1
10029,1,Helsinki asema,15,DEPARTURE,1
10986,2,Helsinki asema,15,DEPARTURE,1
10229,2,Helsinki asema,15,ARRIVAL,2
10986,1,Helsinki asema,15,ARRIVAL,2
10029,2,Helsinki asema,15,ARRIVAL,2
10231,1,Helsinki asema,16,DEPARTURE,1
10988,2,Helsinki asema,16,DEPARTURE,1
10031,1,Helsinki asema,16,DEPARTURE,1
10231,2,Helsinki asema,16,ARRIVAL,2
10031,2,Helsinki asema,16,ARRIVAL,2
10988,1,Helsinki asema,16,ARRIVAL,2
10233,1,Helsinki asema,17,DEPARTURE,1
10033,1,Helsinki asema,17,DEPARTURE,1
10990,2,Helsinki asema,17,DEPARTURE,1
10233,2,Helsinki asema,17,ARRIVAL,2
10990,1,Helsinki asema,17,ARRIVAL,2
10033,2,Helsinki asema,17,ARRIVAL,2
10235,1,Helsinki asema,18,DEPARTURE,1
10035,1,Helsinki asema,18,DEPARTURE,1
10235,2,Helsinki asema,18,ARRIVAL,2
10035,2,Helsinki asema,18,ARRIVAL,2
10237,1,Helsinki asema,19,DEPARTURE,1
10037,1,Helsinki asema,19,DEPARTURE,1
10237,2,Helsinki asema,19,ARRIVAL,2
10037,2,Helsinki asema,19,ARRIVAL,2
13776,2,Hiekkaharju,3,ARRIVAL,1
13975,1,Hiekkaharju,3,ARRIVAL,1
13224,2,Hiekkaharju,3,ARRIVAL,1
13887,1,Hiekkaharju,3,DEPARTURE,1
13782,2,Hiekkaharju,3,DEPARTURE,1
13231,1,Hiekkaharju,3,DEPARTURE,1
13887,2,Hiekkaharju,3,ARRIVAL,2
13782,1,Hiekkaharju,3,ARRIVAL,2
13231,2,Hiekkaharju,3,ARRIVAL,2
13776,1,Hiekkaharju,3,DEPARTURE,2
13975,2,Hiekkaharju,3,DEPARTURE,2
13224,1,Hiekkaharju,3,DEPARTURE,2
13874,2,Hiekkaharju,4,ARRIVAL,1
13220,2,Hiekkaharju,4,ARRIVAL,1
13548,2,Hiekkaharju,4,ARRIVAL,1
13797,1,Hiekkaharju,4,DEPARTURE,1
13543,1,Hiekkaharju,4,DEPARTURE,1
13245,1,Hiekkaharju,4,DEPARTURE,1
13797,2,Hiekkaharju,4,ARRIVAL,2
13543,2,Hiekkaharju,4,ARRIVAL,2
13245,2,Hiekkaharju,4,ARRIVAL,2
13874,1,Hiekkaharju,4,DEPARTURE,2
13220,1,Hiekkaharju,4,DEPARTURE,2
13548,1,Hiekkaharju,4,DEPARTURE,2
11720,2,Huopalahti,1,ARRIVAL,1
11010,2,Huopalahti,1,ARRIVAL,1
10714,2,Huopalahti,1,ARRIVAL,1
11009,1,Huopalahti,1,DEPARTURE,1
11733,1,Huopalahti,1,DEPARTURE,1
11009,2,Huopalahti,1,ARRIVAL,2
11733,2,Huopalahti,1,ARRIVAL,2
11720,1,Huopalahti,1,DEPARTURE,2
11010,1,Huopalahti,1,DEPARTURE,2
10714,1,Huopalahti,1,DEPARTURE,2
11012,2,Huopalahti,2,ARRIVAL,1
10516,2,Huopalahti,2,ARRIVAL,1
10716,2,Huopalahti,2,ARRIVAL,1
11011,1,Huopalahti,2,DEPARTURE,1
11725,1,Huopalahti,2,DEPARTURE,1
11734,1,Huopalahti,2,DEPARTURE,1
11011,2,Huopalahti,2,ARRIVAL,2
11725,2,Huopalahti,2,ARRIVAL,2
11734,2,Huopalahti,2,ARRIVAL,2
11012,1,Huopalahti,2,DEPARTURE,2
10516,1,Huopalahti,2,DEPARTURE,2
10716,1,Huopalahti,2,DEPARTURE,2
11022,2,Huopalahti,3,ARRIVAL,1
10718,2,Huopalahti,3,ARRIVAL,1
10518,2,Huopalahti,3,ARRIVAL,1
11013,1,Huopalahti,3,DEPARTURE,1
11614,2,Huopalahti,3,DEPARTURE,1
11735,1,Huopalahti,3,DEPARTURE,1
11013,2,Huopalahti,3,ARRIVAL,2
11614,1,Huopalahti,3,ARRIVAL,2
11735,2,Huopalahti,3,ARRIVAL,2
11022,1,Huopalahti,3,DEPARTURE,2
10718,1,Huopalahti,3,DEPARTURE,2
10518,1,Huopalahti,3,DEPARTURE,2
11424,2,Huopalahti,4,ARRIVAL,1
10520,2,Huopalahti,4,ARRIVAL,1
11024,2,Huopalahti,4,ARRIVAL,1
11015,1,Huopalahti,4,DEPARTURE,1
11541,1,Huopalahti,4,DEPARTURE,1
11028,2,Huopalahti,4,DEPARTURE,1
